Epoch,Training_loss
0,0.6138297041179612
1,0.4647915274836123
2,0.38214664382394403
3,0.37546695361379534
4,0.3862918531522155
5,0.35960192943457514
6,0.3435814897529781
7,0.3352168088313192
8,0.3195303634274751
9,0.3073312642518431
10,0.30491665471345186
11,0.3119230350712314
12,0.28619806515052915
13,0.27595018025022
14,0.2798895975574851
15,0.26487867010291666
16,0.24608992016874254
17,0.24140757997520268
18,0.23083692457294092
19,0.21967113693244755
20,0.21581596066243947
21,0.21735912060830742
22,0.21260292088845745
23,0.20930506056174636
24,0.20805921230930835
25,0.20332697994308546
26,0.20134698250330985
27,0.20040267740841955
28,0.19889325549593195
29,0.19714121881406754
30,0.19528191396966577
31,0.19472244393546134
32,0.19420792639721185
33,0.1936942869797349
34,0.19265980599448085
